xflr5 v6.50

Plane name :        CRC3
Polar name :        T1-20.0 m/s-VLM1
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -16.000     0.000  -0.710933   0.030387   0.270839   0.301227   0.000000   0.000000  -0.294352  -0.000000   0.000000   20.0000     0.0113
  -15.000     0.000  -0.641963   0.024791   0.250990   0.275781   0.000000   0.000000  -0.275070  -0.000000  -0.000000   20.0000     0.0098
  -14.000     0.000  -0.572450   0.019721   0.228833   0.248554   0.000000   0.000000  -0.255493  -0.000000  -0.000000   20.0000     0.0079
  -13.000     0.000  -0.502444   0.015197   0.207688   0.222885   0.000000   0.000000  -0.235896  -0.000000   0.000000   20.0000     0.0055
  -12.000     0.000  -0.431996   0.011237   0.181792   0.193029   0.000000   0.000000  -0.215925  -0.000000  -0.000000   20.0000     0.0024
  -11.000     0.000  -0.361157   0.007854   0.147898   0.155752   0.000000   0.000000  -0.195470  -0.000000  -0.000000   20.0000    -0.0020
  -10.000     0.000  -0.289980   0.005064   0.082720   0.087785   0.000000   0.000000  -0.173382  -0.000000  -0.000000   20.0000    -0.0085
   -9.000     0.000  -0.218517   0.002879   0.039868   0.042747   0.000000   0.000000  -0.152797  -0.000000  -0.000000   20.0000    -0.0193
   -8.000     0.000  -0.146823   0.001308   0.027480   0.028788   0.000000   0.000000  -0.133824  -0.000000  -0.000000   20.0000    -0.0407
   -7.000     0.000  -0.074951   0.000360   0.024333   0.024693   0.000000   0.000000  -0.115205   0.000000  -0.000000   20.0000    -0.1031
   -6.000     0.000  -0.002957   0.000041   0.021865   0.021906  -0.000000   0.000000  -0.096520   0.000000  -0.000000   20.0000    -3.2052
   -5.000     0.000   0.069105   0.000355   0.019563   0.019919  -0.000000   0.000000  -0.077765   0.000000   0.000000   20.0000     0.1624
   -4.000     0.000   0.141179   0.001306   0.017269   0.018575  -0.000000   0.000000  -0.058958   0.000000   0.000000   20.0000     0.0918
   -3.000     0.000   0.213210   0.002894   0.016597   0.019491   0.000000   0.000000  -0.040160  -0.000000  -0.000000   20.0000     0.0690
   -2.000     0.000   0.285143   0.005117   0.016278   0.021395   0.000000   0.000000  -0.021347  -0.000000  -0.000000   20.0000     0.0576
   -1.000     0.000   0.356923   0.007972   0.015977   0.023949   0.000000   0.000000  -0.002533   0.000000  -0.000000   20.0000     0.0509
    0.000     0.000   0.428495   0.011454   0.015748   0.027202   0.000000   0.000000   0.016260  -0.000000   0.000000   20.0000     0.0464
    1.000     0.000   0.499803   0.015556   0.015748   0.031303   0.000000   0.000000   0.035009   0.000000   0.000000   20.0000     0.0432
    2.000     0.000   0.570795   0.020268   0.015973   0.036241   0.000000   0.000000   0.053694  -0.000000  -0.000000   20.0000     0.0408
    3.000     0.000   0.641415   0.025581   0.016306   0.041887   0.000000   0.000000   0.072295  -0.000000  -0.000000   20.0000     0.0390
    4.000     0.000   0.711613   0.031480   0.016770   0.048250   0.000000   0.000000   0.090790  -0.000000  -0.000000   20.0000     0.0375
    5.000     0.000   0.781334   0.037952   0.017321   0.055273   0.000000   0.000000   0.109159   0.000000   0.000000   20.0000     0.0363
    6.000     0.000   0.850528   0.044980   0.017954   0.062934   0.000000   0.000000   0.127381  -0.000000  -0.000000   20.0000     0.0354
    7.000     0.000   0.919145   0.052546   0.018701   0.071247   0.000000   0.000000   0.145434   0.000000   0.000000   20.0000     0.0345
    8.000     0.000   0.987134   0.060631   0.019557   0.080188   0.000000   0.000000   0.163300  -0.000000  -0.000000   20.0000     0.0338
    9.000     0.000   1.054449   0.069213   0.020535   0.089748   0.000000   0.000000   0.180956  -0.000000  -0.000000   20.0000     0.0332
   10.000     0.000   1.121041   0.078268   0.021654   0.099923   0.000000   0.000000   0.198386  -0.000000  -0.000000   20.0000     0.0327
   
