xflr5 v6.50

Plane name :        CRC3
Polar name :        T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -16.000     0.000  -0.710933   0.030387   0.272600   0.302987   0.000000   0.000000  -0.294493  -0.000000   0.000000   40.0000     0.0113
  -15.000     0.000  -0.641963   0.024791   0.253100   0.277891   0.000000   0.000000  -0.275231  -0.000000  -0.000000   40.0000     0.0098
  -14.000     0.000  -0.572450   0.019721   0.231064   0.250785   0.000000   0.000000  -0.255653  -0.000000  -0.000000   40.0000     0.0079
  -13.000     0.000  -0.502444   0.015197   0.209836   0.225033   0.000000   0.000000  -0.236042  -0.000000   0.000000   40.0000     0.0055
  -12.000     0.000  -0.431996   0.011237   0.189467   0.200704   0.000000   0.000000  -0.216411  -0.000000  -0.000000   40.0000     0.0024
  -11.000     0.000  -0.361157   0.007854   0.163345   0.171199   0.000000   0.000000  -0.196383  -0.000000  -0.000000   40.0000    -0.0020
  -10.000     0.000  -0.289980   0.005064   0.117071   0.122136   0.000000   0.000000  -0.175265  -0.000000  -0.000000   40.0000    -0.0085
   -9.000     0.000  -0.218517   0.002879   0.028845   0.031724   0.000000   0.000000  -0.152240  -0.000000  -0.000000   40.0000    -0.0193
   -8.000     0.000  -0.146823   0.001308   0.018636   0.019944   0.000000   0.000000  -0.133416   0.000000  -0.000000   40.0000    -0.0407
   -7.000     0.000  -0.074951   0.000360   0.016478   0.016838   0.000000   0.000000  -0.114876   0.000000  -0.000000   40.0000    -0.1031
   -6.000     0.000  -0.002957   0.000041   0.014819   0.014860  -0.000000   0.000000  -0.096256   0.000000  -0.000000   40.0000    -3.2052
   -5.000     0.000   0.069105   0.000355   0.013526   0.013882  -0.000000   0.000000  -0.077566   0.000000   0.000000   40.0000     0.1624
   -4.000     0.000   0.141179   0.001306   0.011883   0.013189  -0.000000   0.000000  -0.058804   0.000000   0.000000   40.0000     0.0918
   -3.000     0.000   0.213210   0.002894   0.011018   0.013911   0.000000   0.000000  -0.040025  -0.000000  -0.000000   40.0000     0.0690
   -2.000     0.000   0.285143   0.005117   0.010608   0.015725   0.000000   0.000000  -0.021234   0.000000  -0.000000   40.0000     0.0576
   -1.000     0.000   0.356923   0.007972   0.010413   0.018385   0.000000   0.000000  -0.002446  -0.000000  -0.000000   40.0000     0.0509
    0.000     0.000   0.428495   0.011454   0.010287   0.021741   0.000000   0.000000   0.016321   0.000000   0.000000   40.0000     0.0464
    1.000     0.000   0.499803   0.015556   0.010211   0.025766   0.000000   0.000000   0.035046   0.000000   0.000000   40.0000     0.0432
    2.000     0.000   0.570795   0.020268   0.010294   0.030562   0.000000   0.000000   0.053707  -0.000000  -0.000000   40.0000     0.0408
    3.000     0.000   0.641415   0.025581   0.010565   0.036145   0.000000   0.000000   0.072282   0.000000  -0.000000   40.0000     0.0390
    4.000     0.000   0.711613   0.031480   0.010933   0.042413   0.000000   0.000000   0.090752  -0.000000  -0.000000   40.0000     0.0375
    5.000     0.000   0.781334   0.037952   0.011374   0.049326   0.000000   0.000000   0.109094  -0.000000   0.000000   40.0000     0.0363
    6.000     0.000   0.850528   0.044980   0.011888   0.056868   0.000000   0.000000   0.127288  -0.000000  -0.000000   40.0000     0.0354
    7.000     0.000   0.919145   0.052546   0.012479   0.065026   0.000000   0.000000   0.145312   0.000000   0.000000   40.0000     0.0345
    8.000     0.000   0.987134   0.060631   0.013140   0.073771   0.000000   0.000000   0.163145  -0.000000  -0.000000   40.0000     0.0338
    9.000     0.000   1.054449   0.069213   0.013899   0.083111   0.000000   0.000000   0.180767  -0.000000  -0.000000   40.0000     0.0332
   10.000     0.000   1.121041   0.078268   0.014764   0.093033   0.000000   0.000000   0.198159   0.000000  -0.000000   40.0000     0.0327
   
