xflr5 v6.50

Plane name :        CRC3
Polar name :        T1-50.0 m/s-VLM1
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -16.000     0.000  -0.710933   0.030387   0.265648   0.296036   0.000000   0.000000  -0.293935  -0.000000   0.000000   50.0000     0.0113
  -15.000     0.000  -0.641963   0.024791   0.245073   0.269864   0.000000   0.000000  -0.274620  -0.000000  -0.000000   50.0000     0.0098
  -14.000     0.000  -0.572450   0.019721   0.222807   0.242528   0.000000   0.000000  -0.255060  -0.000000  -0.000000   50.0000     0.0079
  -13.000     0.000  -0.502444   0.015197   0.201358   0.216555   0.000000   0.000000  -0.235468  -0.000000   0.000000   50.0000     0.0055
  -12.000     0.000  -0.431996   0.011237   0.178182   0.189419   0.000000   0.000000  -0.215696  -0.000000  -0.000000   50.0000     0.0024
  -11.000     0.000  -0.361157   0.007854   0.147025   0.154880   0.000000   0.000000  -0.195418  -0.000000  -0.000000   50.0000    -0.0020
  -10.000     0.000  -0.289980   0.005064   0.088886   0.093951   0.000000   0.000000  -0.173720  -0.000000  -0.000000   50.0000    -0.0085
   -9.000     0.000  -0.218517   0.002879   0.019131   0.022010   0.000000   0.000000  -0.151750   0.000000  -0.000000   50.0000    -0.0193
   -8.000     0.000  -0.146823   0.001308   0.016536   0.017844   0.000000   0.000000  -0.133319   0.000000  -0.000000   50.0000    -0.0407
   -7.000     0.000  -0.074951   0.000360   0.014782   0.015141   0.000000   0.000000  -0.114805  -0.000000  -0.000000   50.0000    -0.1031
   -6.000     0.000  -0.002957   0.000041   0.013430   0.013470  -0.000000   0.000000  -0.096204   0.000000  -0.000000   50.0000    -3.2052
   -5.000     0.000   0.069105   0.000355   0.012374   0.012730  -0.000000   0.000000  -0.077528   0.000000   0.000000   50.0000     0.1624
   -4.000     0.000   0.141179   0.001306   0.011002   0.012308  -0.000000   0.000000  -0.058778   0.000000   0.000000   50.0000     0.0918
   -3.000     0.000   0.213210   0.002894   0.010160   0.013054   0.000000   0.000000  -0.040004   0.000000   0.000000   50.0000     0.0690
   -2.000     0.000   0.285143   0.005117   0.009696   0.014813   0.000000   0.000000  -0.021216  -0.000000  -0.000000   50.0000     0.0576
   -1.000     0.000   0.356923   0.007972   0.009488   0.017461   0.000000   0.000000  -0.002432  -0.000000  -0.000000   50.0000     0.0509
    0.000     0.000   0.428495   0.011454   0.009381   0.020835   0.000000   0.000000   0.016331   0.000000   0.000000   50.0000     0.0464
    1.000     0.000   0.499803   0.015556   0.009314   0.024870   0.000000   0.000000   0.035052   0.000000   0.000000   50.0000     0.0432
    2.000     0.000   0.570795   0.020268   0.009348   0.029616   0.000000   0.000000   0.053709  -0.000000   0.000000   50.0000     0.0408
    3.000     0.000   0.641415   0.025581   0.009576   0.035157   0.000000   0.000000   0.072280  -0.000000  -0.000000   50.0000     0.0390
    4.000     0.000   0.711613   0.031480   0.009913   0.041393   0.000000   0.000000   0.090745  -0.000000   0.000000   50.0000     0.0375
    5.000     0.000   0.781334   0.037952   0.010324   0.048276   0.000000   0.000000   0.109083   0.000000   0.000000   50.0000     0.0363
    6.000     0.000   0.850528   0.044980   0.010804   0.055784   0.000000   0.000000   0.127271  -0.000000  -0.000000   50.0000     0.0354
    7.000     0.000   0.919145   0.052546   0.011356   0.063902   0.000000   0.000000   0.145289   0.000000   0.000000   50.0000     0.0345
    8.000     0.000   0.987134   0.060631   0.011971   0.072602   0.000000   0.000000   0.163117  -0.000000  -0.000000   50.0000     0.0338
    9.000     0.000   1.054449   0.069213   0.012672   0.081885   0.000000   0.000000   0.180732  -0.000000  -0.000000   50.0000     0.0332
   10.000     0.000   1.121041   0.078268   0.013477   0.091745   0.000000   0.000000   0.198117   0.000000   0.000000   50.0000     0.0327
   
